batter,season,season_year,runs,balls,fours,sixes,dismissals,strike_rate,average
Shakib Al Hasan,2015,2015,36,27,5,0,2,133.33333333333331,18.0
Shakib Al Hasan,2016,2016,114,106,7,5,5,107.54716981132076,22.8
Shakib Al Hasan,2017,2017,1,1,0,0,0,100.0,1.0
Shakib Al Hasan,2018,2018,239,197,26,5,9,121.31979695431471,26.555555555555557
Shakib Al Hasan,2019,2019,9,10,0,0,1,90.0,9.0
Shakib Al Hasan,2021,2021,47,48,3,1,5,97.91666666666666,9.4
Shashank Singh,2022,2022,69,47,5,4,4,146.80851063829786,17.25
Shashank Singh,2024,2024,354,215,28,21,7,164.65116279069767,50.57142857142857
Shashank Singh,2025,2025,350,228,23,18,7,153.50877192982458,50.0
Shashank Singh,2026,2026,74,39,7,4,3,189.74358974358972,24.666666666666668
Shivam Mavi,2018,2018,13,15,1,0,3,86.66666666666667,4.333333333333333
Shivam Mavi,2020/21,2020,10,14,1,0,2,71.42857142857143,5.0
Shivam Mavi,2021,2021,25,20,2,2,2,125.0,12.5
Shivam Mavi,2022,2022,3,7,0,0,2,42.857142857142854,1.5
Shivam Sharma,2014,2014,5,3,1,0,1,166.66666666666669,5.0
Shivam Singh,2024,2024,2,3,0,0,0,66.66666666666666,2.0
Shivang Kumar,2026,2026,22,16,3,1,4,137.5,5.5
Shoaib Ahmed,2009,2009,1,6,0,0,2,16.666666666666664,0.5
Shoaib Akhtar,2007/08,2007,2,7,0,0,1,28.57142857142857,2.0
Shoaib Malik,2007/08,2007,52,47,5,0,4,110.63829787234043,13.0
Shubman Gill,2018,2018,203,139,22,5,5,146.0431654676259,40.6
Shubman Gill,2019,2019,296,238,21,10,9,124.36974789915966,32.888888888888886
Shubman Gill,2020/21,2020,440,373,44,9,13,117.96246648793564,33.84615384615385
Shubman Gill,2021,2021,478,402,50,12,17,118.90547263681593,28.11764705882353
Shubman Gill,2022,2022,483,365,51,11,15,132.32876712328766,32.2
Shubman Gill,2023,2023,890,564,85,33,16,157.80141843971631,55.625
Shubman Gill,2024,2024,426,289,37,15,10,147.40484429065742,42.6
Shubman Gill,2025,2025,650,417,62,24,12,155.87529976019187,54.166666666666664
Shubman Gill,2026,2026,378,244,35,17,8,154.91803278688525,47.25
Sikandar Raza,2023,2023,139,98,10,6,5,141.83673469387753,27.8
