bowler,season,season_year,balls,runs_conceded,wickets,wides,noballs,dots,economy,bowling_avg,dot_pct
RP Singh,2009/10,2009,266,385,14,14,0,103,8.68421052631579,27.5,38.721804511278194
RP Singh,2011,2011,314,365,15,14,0,146,6.974522292993631,24.333333333333332,46.496815286624205
RP Singh,2012,2012,260,328,11,12,2,112,7.569230769230769,29.818181818181817,43.07692307692308
RP Singh,2013,2013,251,336,14,10,2,89,8.03187250996016,24.0,35.45816733067729
RP Singh,2016,2016,76,114,3,3,1,32,9.0,38.0,42.10526315789473
RR Bhatkal,2012,2012,12,35,0,0,0,0,17.5,,0.0
RR Bose,2009,2009,12,24,0,0,0,5,12.0,,41.66666666666667
RR Powar,2007/08,2007,77,93,3,5,0,32,7.246753246753246,31.0,41.55844155844156
RR Powar,2009,2009,132,138,6,6,0,52,6.2727272727272725,23.0,39.39393939393939
RR Powar,2009/10,2009,144,163,4,5,1,66,6.791666666666667,40.75,45.83333333333333
RR Powar,2011,2011,72,112,2,0,0,22,9.333333333333334,56.0,30.555555555555557
RR Powar,2012,2012,18,32,0,0,0,3,10.666666666666666,,16.666666666666664
RR Raje,2007/08,2007,102,142,6,3,1,30,8.352941176470589,23.666666666666668,29.411764705882355
RR Raje,2009,2009,42,72,1,1,0,11,10.285714285714286,72.0,26.190476190476193
RS Bopara,2009,2009,8,5,0,0,0,3,3.75,,37.5
RS Bopara,2009/10,2009,82,132,5,4,0,23,9.658536585365853,26.4,28.04878048780488
RS Bopara,2015,2015,123,164,8,3,0,40,8.0,20.5,32.52032520325203
RS Gavaskar,2009/10,2009,6,8,0,0,0,2,8.0,,33.33333333333333
RS Ghosh,2026,2026,18,24,1,0,0,6,8.0,24.0,33.33333333333333
RS Hangargekar,2023,2023,43,60,3,6,1,15,8.372093023255813,20.0,34.883720930232556
RV Gomez,2011,2011,91,125,5,1,0,34,8.241758241758243,25.0,37.362637362637365
RV Gomez,2013,2013,6,5,1,0,0,4,5.0,5.0,66.66666666666666
RV Patel,2021,2021,20,22,0,2,0,5,6.6,,25.0
RW Price,2011,2011,18,33,0,0,0,1,11.0,,5.555555555555555
Raghu Sharma,2026,2026,48,60,1,0,0,12,7.5,60.0,25.0
Ramandeep Singh,2022,2022,41,55,6,5,0,13,8.048780487804878,9.166666666666666,31.70731707317073
Ramandeep Singh,2024,2024,4,9,0,0,0,0,13.5,,0.0
