bowler,season,season_year,balls,runs_conceded,wickets,wides,noballs,dots,economy,bowling_avg,dot_pct
TM Dilshan,2007/08,2007,6,3,1,0,0,3,3.0,3.0,50.0
TM Dilshan,2009,2009,96,99,0,0,0,34,6.1875,,35.41666666666667
TM Dilshan,2009/10,2009,49,70,3,0,0,18,8.571428571428571,23.333333333333332,36.734693877551024
TM Dilshan,2011,2011,74,108,1,2,0,16,8.756756756756756,108.0,21.62162162162162
TM Dilshan,2012,2012,44,78,0,2,0,10,10.636363636363637,,22.727272727272727
TM Dilshan,2013,2013,6,10,0,0,0,0,10.0,,0.0
TM Head,2017,2017,48,81,3,0,0,7,10.125,27.0,14.583333333333334
TM Head,2024,2024,10,32,0,0,0,2,19.2,,20.0
TP Sudhindra,2012,2012,74,137,1,3,1,19,11.108108108108107,137.0,25.675675675675674
TS Mills,2017,2017,111,157,5,4,0,45,8.486486486486486,31.4,40.54054054054054
TS Mills,2022,2022,107,192,6,5,0,30,10.766355140186917,32.0,28.037383177570092
TU Deshpande,2020/21,2020,110,193,3,7,1,29,10.527272727272727,64.33333333333333,26.36363636363636
TU Deshpande,2022,2022,43,67,1,1,0,18,9.348837209302324,67.0,41.86046511627907
TU Deshpande,2023,2023,368,580,24,23,4,140,9.456521739130434,24.166666666666668,38.04347826086957
TU Deshpande,2024,2024,310,435,18,20,2,119,8.419354838709678,24.166666666666668,38.387096774193544
TU Deshpande,2025,2025,212,342,9,20,0,59,9.679245283018867,38.0,27.830188679245282
TU Deshpande,2026,2026,106,196,5,10,0,29,11.094339622641508,39.2,27.358490566037734
Tejas Baroka,2017,2017,21,33,0,0,0,6,9.428571428571429,,28.57142857142857
Tilak Varma,2022,2022,12,13,0,0,0,5,6.5,,41.66666666666667
Tilak Varma,2023,2023,7,7,0,1,0,3,6.0,,42.857142857142854
Tilak Varma,2024,2024,4,8,0,0,0,0,12.0,,0.0
UT Yadav,2009/10,2009,152,192,8,6,2,60,7.578947368421053,24.0,39.473684210526315
UT Yadav,2011,2011,113,172,3,3,2,39,9.132743362831858,57.333333333333336,34.51327433628318
UT Yadav,2012,2012,383,459,22,14,3,152,7.190600522193211,20.863636363636363,39.686684073107045
UT Yadav,2013,2013,369,533,20,15,1,136,8.666666666666666,26.65,36.856368563685635
UT Yadav,2014,2014,283,381,12,10,3,107,8.07773851590106,31.75,37.80918727915194
UT Yadav,2015,2015,266,387,12,12,2,98,8.729323308270676,32.25,36.84210526315789
UT Yadav,2016,2016,163,246,12,5,2,53,9.05521472392638,20.5,32.515337423312886
UT Yadav,2017,2017,304,432,18,13,0,129,8.526315789473685,24.0,42.43421052631579
UT Yadav,2018,2018,331,424,20,10,2,149,7.685800604229607,21.2,45.01510574018127
UT Yadav,2019,2019,238,375,9,10,1,88,9.453781512605042,41.666666666666664,36.97478991596639
UT Yadav,2020/21,2020,46,86,1,3,1,15,11.217391304347826,86.0,32.608695652173914
UT Yadav,2022,2022,297,354,16,4,5,147,7.151515151515151,22.125,49.494949494949495
UT Yadav,2023,2023,116,190,1,2,0,42,9.827586206896552,190.0,36.206896551724135
UT Yadav,2024,2024,129,211,9,3,0,56,9.813953488372093,23.444444444444443,43.41085271317829
Umar Gul,2007/08,2007,153,198,14,12,6,61,7.764705882352941,14.142857142857142,39.869281045751634
Umran Malik,2021,2021,75,96,2,3,0,31,7.68,48.0,41.333333333333336
Umran Malik,2022,2022,313,455,23,14,4,143,8.722044728434506,19.782608695652176,45.68690095846645
Umran Malik,2023,2023,124,219,6,4,0,43,10.596774193548386,36.5,34.67741935483871
Umran Malik,2024,2024,7,15,0,1,0,2,12.857142857142856,,28.57142857142857
V Kaverappa,2024,2024,24,36,2,0,0,11,9.0,18.0,45.83333333333333
V Kohli,2007/08,2007,49,62,2,2,1,8,7.591836734693878,31.0,16.3265306122449
V Kohli,2009,2009,39,46,0,3,0,10,7.076923076923077,,25.64102564102564
V Kohli,2009/10,2009,33,51,0,0,1,8,9.272727272727273,,24.242424242424242
V Kohli,2011,2011,106,140,2,2,2,25,7.924528301886792,70.0,23.58490566037736
V Kohli,2012,2012,18,49,0,0,0,2,16.333333333333332,,11.11111111111111
V Kohli,2015,2015,11,10,1,0,0,2,5.454545454545455,10.0,18.181818181818183
V Kohli,2016,2016,8,13,0,0,2,2,9.75,,25.0
V Nigam,2025,2025,244,361,12,6,4,76,8.87704918032787,30.083333333333332,31.147540983606557
V Nigam,2026,2026,45,83,2,2,1,13,11.066666666666666,41.5,28.888888888888886
V Pratap Singh,2012,2012,211,300,12,7,0,75,8.530805687203792,25.0,35.54502369668246
V Puthur,2025,2025,73,109,6,1,0,24,8.958904109589042,18.166666666666668,32.87671232876712
V Sehwag,2007/08,2007,67,134,3,1,0,19,12.0,44.666666666666664,28.35820895522388
V Sehwag,2009,2009,7,25,0,0,1,1,21.428571428571427,,14.285714285714285
V Sehwag,2009/10,2009,34,23,3,0,0,18,4.0588235294117645,7.666666666666667,52.94117647058824
V Sehwag,2012,2012,24,45,0,0,0,7,11.25,,29.166666666666668
V Sehwag,2013,2013,6,9,0,0,0,0,9.0,,0.0
V Shankar,2014,2014,6,19,0,0,0,1,19.0,,16.666666666666664
V Shankar,2018,2018,34,58,1,3,1,8,10.235294117647058,58.0,23.52941176470588
V Shankar,2019,2019,52,70,2,3,1,15,8.076923076923077,35.0,28.846153846153843
V Shankar,2020/21,2020,84,82,4,3,2,32,5.857142857142857,20.5,38.095238095238095
V Shankar,2021,2021,72,100,4,5,1,22,8.333333333333334,25.0,30.555555555555557
V Shankar,2022,2022,10,15,1,1,0,4,9.0,15.0,40.0
V Viyaskanth,2024,2024,60,90,1,0,0,19,9.0,90.0,31.666666666666664
VG Arora,2022,2022,110,165,4,3,0,39,9.0,41.25,35.45454545454545
VG Arora,2023,2023,107,149,5,7,4,35,8.355140186915888,29.8,32.71028037383177
VG Arora,2024,2024,201,284,11,15,6,84,8.477611940298507,25.818181818181817,41.7910447761194
VG Arora,2025,2025,272,431,19,17,0,94,9.50735294117647,22.68421052631579,34.55882352941176
VG Arora,2026,2026,197,317,11,11,0,66,9.65482233502538,28.818181818181817,33.50253807106599
VR Aaron,2011,2011,77,83,2,5,0,32,6.467532467532467,41.5,41.55844155844156
VR Aaron,2012,2012,192,279,9,6,0,78,8.71875,31.0,40.625
VR Aaron,2014,2014,238,309,16,15,3,99,7.789915966386555,19.3125,41.596638655462186
VR Aaron,2015,2015,113,180,4,9,0,47,9.557522123893806,45.0,41.5929203539823
VR Aaron,2016,2016,155,229,2,11,2,50,8.864516129032259,114.5,32.25806451612903
VR Aaron,2017,2017,129,170,7,8,1,55,7.906976744186046,24.285714285714285,42.63565891472868
VR Aaron,2019,2019,74,128,4,2,0,28,10.378378378378377,32.0,37.83783783783784
VR Aaron,2020/21,2020,54,96,0,4,2,22,10.666666666666666,,40.74074074074074
VR Aaron,2022,2022,33,53,2,3,0,7,9.636363636363637,26.5,21.21212121212121
VR Iyer,2021,2021,54,71,3,2,1,15,7.888888888888889,23.666666666666668,27.77777777777778
VR Iyer,2022,2022,24,46,0,0,0,3,11.5,,12.5
VR Iyer,2024,2024,6,28,0,0,0,0,28.0,,0.0
VRV Singh,2007/08,2007,296,425,15,5,3,99,8.614864864864865,28.333333333333332,33.44594594594595
VRV Singh,2009,2009,54,83,1,0,0,17,9.222222222222221,83.0,31.48148148148148
VRV Singh,2009/10,2009,21,41,0,2,1,5,11.714285714285714,,23.809523809523807
VS Malik,2009,2009,74,100,2,1,1,31,8.108108108108107,50.0,41.891891891891895
VS Malik,2009/10,2009,46,66,1,2,1,17,8.608695652173912,66.0,36.95652173913043
VS Malik,2011,2011,12,14,0,0,0,4,7.0,,33.33333333333333
VS Malik,2013,2013,61,59,2,1,0,30,5.803278688524591,29.5,49.18032786885246
VS Malik,2014,2014,19,29,1,1,0,7,9.157894736842106,29.0,36.84210526315789
VS Yeligati,2007/08,2007,32,61,0,2,0,8,11.4375,,25.0
VY Mahesh,2007/08,2007,266,380,17,6,7,103,8.571428571428571,22.352941176470587,38.721804511278194
VY Mahesh,2009,2009,13,25,1,1,0,3,11.53846153846154,25.0,23.076923076923077
VY Mahesh,2009/10,2009,19,23,1,1,0,5,7.2631578947368425,23.0,26.31578947368421
VY Mahesh,2012,2012,61,83,3,5,0,19,8.163934426229508,27.666666666666668,31.147540983606557
Vijaykumar Vyshak,2023,2023,153,253,11,8,1,40,9.92156862745098,23.0,26.143790849673206
Vijaykumar Vyshak,2024,2024,90,143,6,3,0,24,9.533333333333333,23.833333333333332,26.666666666666668
Vijaykumar Vyshak,2025,2025,113,181,4,10,1,31,9.610619469026549,45.25,27.43362831858407
Vijaykumar Vyshak,2026,2026,175,307,10,6,1,47,10.525714285714285,30.7,26.857142857142858
Vivrant Sharma,2023,2023,21,37,0,2,1,5,10.571428571428571,,23.809523809523807
W O'Rourke,2025,2025,64,132,6,2,0,15,12.375,22.0,23.4375
WA Mota,2007/08,2007,20,36,1,2,0,3,10.799999999999999,36.0,15.0
WA Mota,2009,2009,55,62,3,0,1,22,6.763636363636364,20.666666666666668,40.0
WD Parnell,2011,2011,184,222,10,8,0,80,7.239130434782608,22.2,43.47826086956522
WD Parnell,2012,2012,130,133,7,1,3,55,6.138461538461538,19.0,42.30769230769231
WD Parnell,2013,2013,97,141,7,7,1,35,8.721649484536082,20.142857142857142,36.08247422680412
WD Parnell,2014,2014,190,235,7,8,1,89,7.421052631578947,33.57142857142857,46.8421052631579
WD Parnell,2023,2023,157,237,9,5,1,57,9.05732484076433,26.333333333333332,36.30573248407643
WG Jacks,2024,2024,55,100,2,1,0,11,10.90909090909091,50.0,20.0
WG Jacks,2025,2025,90,121,6,5,1,33,8.066666666666666,20.166666666666668,36.666666666666664
WG Jacks,2026,2026,19,53,1,1,0,3,16.736842105263158,53.0,15.789473684210526
WPUJC Vaas,2007/08,2007,103,146,6,1,0,42,8.504854368932039,24.333333333333332,40.77669902912621
WPUJC Vaas,2009,2009,52,71,5,2,2,24,8.192307692307693,14.2,46.15384615384615
WPUJC Vaas,2009/10,2009,133,147,11,1,0,68,6.63157894736842,13.363636363636363,51.127819548872175
Washington Sundar,2017,2017,182,189,9,2,0,85,6.230769230769231,21.0,46.7032967032967
Washington Sundar,2018,2018,122,194,4,2,0,29,9.540983606557377,48.5,23.770491803278688
Washington Sundar,2019,2019,54,75,4,0,0,21,8.333333333333334,18.75,38.88888888888889
Washington Sundar,2020/21,2020,302,300,9,1,1,115,5.960264900662251,33.333333333333336,38.079470198675494
Washington Sundar,2021,2021,98,119,3,2,0,32,7.2857142857142865,39.666666666666664,32.6530612244898
Washington Sundar,2022,2022,170,239,6,1,1,47,8.435294117647059,39.833333333333336,27.647058823529413
Washington Sundar,2023,2023,106,146,3,0,0,35,8.264150943396226,48.666666666666664,33.0188679245283
Washington Sundar,2024,2024,30,73,1,0,0,3,14.6,73.0,10.0
Washington Sundar,2025,2025,67,112,2,2,0,16,10.029850746268657,56.0,23.88059701492537
Washington Sundar,2026,2026,31,51,1,0,0,8,9.870967741935484,51.0,25.806451612903224
XC Bartlett,2025,2025,60,96,2,0,0,28,9.6,48.0,46.666666666666664
XC Bartlett,2026,2026,186,337,5,7,1,48,10.870967741935484,67.4,25.806451612903224
Y Gnaneswara Rao,2011,2011,6,7,0,0,0,3,7.0,,50.0
Y Nagar,2009,2009,13,20,2,0,1,4,9.230769230769232,10.0,30.76923076923077
Y Nagar,2009/10,2009,18,28,1,0,0,7,9.333333333333334,28.0,38.88888888888889
Y Nagar,2011,2011,34,67,1,1,3,6,11.823529411764705,67.0,17.647058823529413
Y Nagar,2012,2012,7,10,0,1,0,1,8.571428571428571,,14.285714285714285
Y Prithvi Raj,2019,2019,33,57,1,3,0,8,10.363636363636363,57.0,24.242424242424242
Y Venugopal Rao,2007/08,2007,88,137,3,4,0,22,9.340909090909092,45.666666666666664,25.0
Y Venugopal Rao,2009,2009,92,123,4,2,0,28,8.021739130434783,30.75,30.434782608695656
Y Venugopal Rao,2009/10,2009,6,10,0,0,0,1,10.0,,16.666666666666664
Y Venugopal Rao,2011,2011,12,26,0,0,0,3,13.0,,25.0
Y Venugopal Rao,2012,2012,12,26,0,0,0,3,13.0,,25.0
Y Venugopal Rao,2014,2014,12,16,0,0,0,3,8.0,,25.0
YA Abdulla,2009,2009,180,244,14,11,1,78,8.133333333333333,17.428571428571427,43.333333333333336
YA Abdulla,2009/10,2009,42,67,1,1,0,14,9.571428571428571,67.0,33.33333333333333
YBK Jaiswal,2022,2022,1,6,0,0,0,0,36.0,,0.0
YK Pathan,2007/08,2007,170,233,10,1,0,62,8.223529411764707,23.3,36.470588235294116
YK Pathan,2009,2009,221,248,7,11,0,87,6.733031674208144,35.42857142857143,39.366515837104075
YK Pathan,2009/10,2009,214,254,6,10,0,68,7.121495327102804,42.333333333333336,31.775700934579437
YK Pathan,2011,2011,241,244,13,7,0,99,6.0746887966804985,18.76923076923077,41.078838174273855
YK Pathan,2012,2012,137,184,4,5,0,48,8.058394160583942,46.0,35.03649635036496
YK Pathan,2013,2013,55,74,1,1,0,15,8.072727272727274,74.0,27.27272727272727
YK Pathan,2014,2014,6,10,0,0,0,1,10.0,,16.666666666666664
YK Pathan,2015,2015,60,100,2,0,0,14,10.0,50.0,23.333333333333332
YK Pathan,2016,2016,38,33,1,2,0,14,5.210526315789474,33.0,36.84210526315789
YK Pathan,2017,2017,24,41,1,0,0,8,10.25,41.0,33.33333333333333
YK Pathan,2018,2018,12,14,1,0,0,2,7.0,14.0,16.666666666666664
YK Pathan,2019,2019,6,8,0,0,0,1,8.0,,16.666666666666664
YS Chahal,2013,2013,24,35,0,0,0,9,8.75,,37.5
YS Chahal,2014,2014,333,389,12,3,0,118,7.009009009009009,32.416666666666664,35.43543543543544
YS Chahal,2015,2015,283,416,24,2,0,91,8.819787985865725,17.333333333333332,32.15547703180212
YS Chahal,2016,2016,308,409,22,12,1,105,7.967532467532467,18.59090909090909,34.090909090909086
YS Chahal,2017,2017,271,351,14,8,2,100,7.771217712177122,25.071428571428573,36.90036900369004
YS Chahal,2018,2018,313,374,12,10,3,131,7.169329073482428,31.166666666666668,41.853035143769965
YS Chahal,2019,2019,308,394,18,12,0,117,7.675324675324675,21.88888888888889,37.98701298701299
YS Chahal,2020/21,2020,348,414,22,3,2,118,7.137931034482759,18.818181818181817,33.90804597701149
YS Chahal,2021,2021,323,381,19,5,0,127,7.077399380804954,20.05263157894737,39.318885448916404
YS Chahal,2022,2022,429,536,29,21,0,137,7.496503496503497,18.482758620689655,31.934731934731936
YS Chahal,2023,2023,326,434,22,9,0,97,7.987730061349693,19.727272727272727,29.754601226993866
YS Chahal,2024,2024,362,548,19,13,1,101,9.082872928176796,28.842105263157894,27.900552486187845
YS Chahal,2025,2025,277,431,16,7,0,73,9.335740072202167,26.9375,26.353790613718413
YS Chahal,2026,2026,194,290,9,11,3,39,8.969072164948454,32.22222222222222,20.103092783505154
Yash Dayal,2022,2022,205,296,13,10,3,77,8.663414634146342,22.76923076923077,37.5609756097561
Yash Dayal,2023,2023,88,165,2,4,0,24,11.25,82.5,27.27272727272727
Yash Dayal,2024,2024,322,472,16,18,3,124,8.79503105590062,29.5,38.50931677018634
Yash Dayal,2025,2025,305,479,14,7,4,99,9.422950819672131,34.214285714285715,32.459016393442624
Yash Raj Punja,2026,2026,48,66,3,0,0,16,8.25,22.0,33.33333333333333
Yash Thakur,2023,2023,207,297,15,14,2,70,8.608695652173912,19.8,33.81642512077295
Yash Thakur,2024,2024,225,405,12,11,1,69,10.8,33.75,30.666666666666664
Yash Thakur,2025,2025,43,80,1,3,1,12,11.162790697674419,80.0,27.906976744186046
Yudhvir Singh,2023,2023,50,73,3,2,0,25,8.76,24.333333333333332,50.0
Yudhvir Singh,2024,2024,24,52,1,0,0,5,13.0,52.0,20.833333333333336
Yudhvir Singh,2025,2025,71,132,4,4,1,27,11.154929577464788,33.0,38.028169014084504
Yuvraj Singh,2007/08,2007,56,85,3,2,0,14,9.107142857142856,28.333333333333332,25.0
Yuvraj Singh,2009,2009,121,142,6,1,0,48,7.041322314049586,23.666666666666668,39.66942148760331
Yuvraj Singh,2009/10,2009,139,155,6,1,0,48,6.690647482014388,25.833333333333332,34.53237410071942
Yuvraj Singh,2011,2011,175,193,9,0,1,63,6.6171428571428565,21.444444444444443,36.0
Yuvraj Singh,2013,2013,133,152,6,1,0,39,6.857142857142857,25.333333333333332,29.32330827067669
Yuvraj Singh,2014,2014,140,191,6,4,0,34,8.185714285714287,31.833333333333332,24.285714285714285
Yuvraj Singh,2015,2015,55,75,1,1,0,14,8.181818181818182,75.0,25.454545454545453
Yuvraj Singh,2016,2016,38,52,0,1,0,7,8.210526315789474,,18.421052631578945
Yuvraj Singh,2017,2017,12,23,2,0,0,3,11.5,11.5,25.0
Yuvraj Singh,2018,2018,13,23,0,1,0,0,10.615384615384617,,0.0
Z Khan,2007/08,2007,258,369,15,6,0,109,8.581395348837209,24.6,42.248062015503876
Z Khan,2009,2009,132,144,7,5,1,52,6.545454545454546,20.571428571428573,39.39393939393939
Z Khan,2009/10,2009,295,388,18,4,1,117,7.891525423728814,21.555555555555557,39.66101694915255
Z Khan,2011,2011,373,465,15,19,0,151,7.479892761394102,31.0,40.48257372654155
Z Khan,2012,2012,370,468,21,10,0,155,7.58918918918919,22.285714285714285,41.891891891891895
Z Khan,2013,2013,38,47,5,2,0,18,7.421052631578948,9.4,47.368421052631575
Z Khan,2014,2014,138,156,6,4,0,62,6.782608695652174,26.0,44.927536231884055
Z Khan,2015,2015,155,159,8,10,0,76,6.15483870967742,19.875,49.03225806451613
Z Khan,2016,2016,271,341,12,9,0,112,7.549815498154982,28.416666666666668,41.32841328413284
Z Khan,2017,2017,246,323,12,5,0,79,7.878048780487805,26.916666666666668,32.113821138211385
Zeeshan Ansari,2025,2025,209,334,8,5,1,49,9.588516746411482,41.75,23.444976076555022
